eon,era,period,subperiod,epoch,age,MA,base,duration,,,,
Phanerozoic,Cenozoic,Quaternary,,Anthropocene,,0,0.000218,0.000218,2.58,66,541,
Phanerozoic,Cenozoic,Quaternary,,Holocene,Late,0.000218,0.0042,0.003982,0.011582,,,
Phanerozoic,Cenozoic,Quaternary,,Holocene,Middle,0.0042,0.0082,0.004,,,,
Phanerozoic,Cenozoic,Quaternary,,Holocene,Early,0.0082,0.0118,0.0036,,,,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Tarantian,0.0118,0.126,0.1142,2.5682,,,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Ionian,0.126,0.773,0.647,,,,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Calabrian,0.773,1.8,1.027,,,,
Phanerozoic,Cenozoic,Quaternary,,Pleistocene,Gelasian,1.8,2.58,0.78,,,,
Phanerozoic,Cenozoic,Neogene,,Pliocene,Piacenzian,2.58,3.6,1.012,2.745,20.442,,
Phanerozoic,Cenozoic,Neogene,,Pliocene,Zanclean,3.6,5.333,1.733,,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Messinian,5.333,7.25,1.917,17.697,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Tortonian,7.25,11.63,4.38,,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Serravallian,11.63,13.82,2.19,,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Langhian,13.82,15.97,2.15,,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Burdigalian,15.97,20.44,4.47,,,,
Phanerozoic,Cenozoic,Neogene,,Miocene,Aquitanian,20.44,23.03,2.59,,,,
Phanerozoic,Cenozoic,Paleogene,,Oligocene,Chattian,23.03,28.1,5.07,10.87,42.97,,
Phanerozoic,Cenozoic,Paleogene,,Oligocene,Rupelian,28.1,33.9,5.8,,,,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Priabonian,33.9,37.97,4.07,22.1,,,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Bartonian,37.97,41.03,3.06,,,,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Lutetian,41.03,47.8,6.77,,,,
Phanerozoic,Cenozoic,Paleogene,,Eocene,Ypresian,47.8,56,8.2,,,,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Thanetian,56,59.2,3.2,10,,,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Selandian,59.2,61.6,2.4,,,,
Phanerozoic,Cenozoic,Paleogene,,Paleocene,Danian,61.6,66,4.4,,,,
Phanerozoic,Mesozoic,Cretaceous,,Late,Maastrichtian,66,72.1,6.1,34.5,79,185.902,
Phanerozoic,Mesozoic,Cretaceous,,Late,Campanian,72.1,84.19,12.09,,,,
Phanerozoic,Mesozoic,Cretaceous,,Late,Santonian,84.19,86.49,2.3,,,,
Phanerozoic,Mesozoic,Cretaceous,,Late,Coniacian,86.49,89.75,3.26,,,,
Phanerozoic,Mesozoic,Cretaceous,,Late,Cenomanian,89.75,100.5,10.75,,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Albian,100.5,113.14,12.64,44.5,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Aptian,113.14,126.3,13.16,,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Barremian,126.3,130.8,4.5,,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Hauterivian,130.8,134.7,3.9,,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Valanginian,134.7,139.4,4.7,,,,
Phanerozoic,Mesozoic,Cretaceous,,Early,Berriasian,139.4,145,5.6,,,,
Phanerozoic,Mesozoic,Jurassic,,Late,Tithonian,145,152.1,7.1,18.1,56.36,,
Phanerozoic,Mesozoic,Jurassic,,Late,Kimmeridgian,152.1,157.3,5.2,,,,
Phanerozoic,Mesozoic,Jurassic,,Late,Oxfordian,157.3,163.1,5.8,,,,
Phanerozoic,Mesozoic,Jurassic,,Middle,Callovian,163.1,166.1,3,11,,,
Phanerozoic,Mesozoic,Jurassic,,Middle,Bathonian,166.1,168.3,2.2,,,,
Phanerozoic,Mesozoic,Jurassic,,Middle,Bajocian,168.3,170.3,2,,,,
Phanerozoic,Mesozoic,Jurassic,,Middle,Aalenian,170.3,174.1,3.8,,,,
Phanerozoic,Mesozoic,Jurassic,,Early,Toarcian,174.1,183.7,9.6,27.26,,,
Phanerozoic,Mesozoic,Jurassic,,Early,Pliensbachian,183.7,191.36,7.66,,,,
Phanerozoic,Mesozoic,Jurassic,,Early,Sinemurian,191.36,199.4,8.04,,,,
Phanerozoic,Mesozoic,Jurassic,,Early,Hettangian,199.4,201.36,1.96,,,,
Phanerozoic,Mesozoic,Triassic,,Late,Rhaetian,201.36,209.5,8.14,36.64,50.81,,
Phanerozoic,Mesozoic,Triassic,,Late,Norian,209.5,228.4,18.9,,,,
Phanerozoic,Mesozoic,Triassic,,Late,Carnian,228.4,237,8.6,,,,
Phanerozoic,Mesozoic,Triassic,,Middle,Ladinian,237,241.5,4.5,9.8,,,
Phanerozoic,Mesozoic,Triassic,,Middle,Anisian,241.5,246.8,5.3,,,,
Phanerozoic,Mesozoic,Triassic,,Early,Olenekian,246.8,249.8,3,5.102,,,
Phanerozoic,Mesozoic,Triassic,,Early,Induan,249.8,251.902,2.102,,,,
Phanerozoic,Paleozoic,Permian,,Lopingian,Changhsingian,251.902,254.15,2.248,6.598,46.998,289.098,
Phanerozoic,Paleozoic,Permian,,Lopingian,Wuchiapingian,254.15,258.5,3.35,,,,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Capitanian,258.5,265.1,6.6,13.8,,,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Wordian,265.1,268.8,3.7,,,,
Phanerozoic,Paleozoic,Permian,,Guadalupian,Roadian,268.8,272.3,3.5,,,,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Kungurian,272.3,282,9.7,26.6,,,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Artinskian,282,290.1,8.1,,,,
Phanerozoic,Paleozoic,Permian,,Cisuralian,Sakmarian,290.1,295,4.9,,,,
